code;location;registered;envelopes;valid;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;Volte Pr.Blok www.cibulka.net;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Společ.proti výst.v Prok.údolí;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana;OBČANÉ 2011-SPRAVEDL. PRO LIDI;Unie H.A.V.E.L.;Referendum o Evropské unii;TOP 09;ANO 2011;Dobrá volba 2016;SPR-Republ.str.Čsl. M.Sládka;Křesť.demokr.unie-Čs.str.lid.;Česká strana národně sociální;REALISTÉ;SPORTOVCI;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);Strana Práv Občanů
500054;Praha 1;32140;21655;21479;4300;9;13;999;12;1;1152;581;901;59;6;349;32;71;3610;5;0;30;4313;2554;1;16;1377;3;214;11;2;815;43
500224;Praha 10;110313;56006;55536;8918;62;56;3318;50;17;2400;2672;1289;230;15;1127;46;67;10158;9;8;30;6871;11362;37;53;2475;12;510;69;64;3438;173
547034;Praha 11;72419;49823;49529;6608;61;18;2916;30;17;2055;2622;978;257;13;1171;42;96;8856;24;5;23;5301;11955;31;35;2090;27;542;86;66;3428;176
547107;Praha 12;51715;34681;34548;4745;34;13;2210;23;11;1376;2284;594;200;18;661;31;41;6254;11;1;17;3149;8583;21;25;1312;7;349;102;50;2275;151
539694;Praha 13;46941;31556;31395;5158;24;15;1691;15;12;1703;1321;721;129;98;844;27;43;5872;7;1;19;3749;6104;18;29;1415;6;311;68;37;1879;79
547361;Praha 14;44635;28602;28442;4590;39;29;1778;53;7;1168;1111;557;150;10;613;38;47;4965;18;3;34;3287;6115;12;23;1154;18;248;55;56;2116;148
547387;Praha 15;33299;19509;19420;3440;24;18;982;13;20;863;748;339;74;6;420;28;22;3425;2;4;8;1981;4579;8;21;698;9;184;36;29;1379;60
539601;Praha 16;6143;4377;4346;865;6;3;211;6;6;210;181;55;28;8;89;6;6;772;0;0;1;509;927;2;6;170;1;43;9;9;211;6
547174;Praha 17;28951;19766;19626;3351;35;38;1111;5;2;804;952;420;86;17;354;7;71;3195;1;2;19;2144;4503;20;14;910;3;195;53;13;1268;33
547417;Praha 18;12641;8295;8235;1224;5;5;520;3;5;348;397;168;48;1;233;7;12;1372;6;0;2;817;2001;3;11;286;2;69;25;7;625;33
547344;Praha 19;4815;3496;3471;630;11;0;212;1;1;199;175;60;25;1;77;2;8;546;3;0;4;325;730;1;3;159;2;35;9;2;237;13
500089;Praha 2;32641;21007;20814;3859;15;18;991;20;11;1086;587;688;58;8;472;14;37;3871;7;4;11;3577;2875;8;19;1173;11;203;38;8;1098;47
538213;Praha 20;11243;7986;7944;1293;11;2;458;6;5;373;544;137;72;0;134;9;21;1303;1;1;5;688;1843;2;11;373;1;95;21;8;507;20
538949;Praha 21;7512;5511;5497;1163;2;1;268;5;1;224;201;68;19;1;101;3;5;913;1;0;0;641;1297;4;1;218;2;29;12;1;299;17
538931;Praha 22;7355;5090;5067;971;11;3;256;0;1;332;167;100;33;1;142;6;14;852;0;0;5;612;1031;2;1;184;0;38;16;6;272;11
500097;Praha 3;60567;38793;38538;6278;25;20;2250;34;16;1853;1675;1179;155;11;851;17;54;6906;24;6;13;5568;7025;18;41;1775;11;371;78;46;2137;101
500119;Praha 4;105367;65144;64677;10518;64;47;3849;65;15;3191;2836;1489;250;33;1367;37;95;11404;16;12;62;7906;13562;42;48;3055;13;636;127;57;3666;215
500143;Praha 5;68601;46015;45777;7768;56;34;2112;27;12;2373;1690;1251;197;188;934;34;74;8524;21;6;27;6681;8011;14;44;2413;11;464;89;35;2536;151
500178;Praha 6;75120;53819;53401;8334;33;27;2907;35;18;3319;2466;1570;157;21;901;29;66;9232;15;3;33;8723;9000;27;30;3324;17;514;89;36;2359;116
500186;Praha 7;35628;23626;23430;3640;20;21;1158;29;8;1169;671;947;75;5;436;23;25;4582;7;2;28;3980;3343;11;19;1716;6;229;37;20;1185;38
500208;Praha 8;83622;54928;54598;8686;67;32;3193;39;19;2623;3297;1279;231;20;1068;35;74;9235;27;27;34;6132;11592;29;52;2380;14;602;163;55;3416;177
500216;Praha 9;41207;27164;26983;4904;31;20;1538;23;10;1182;1190;556;93;7;554;28;27;4504;3;3;22;3003;6002;20;23;1124;14;255;57;20;1684;86
538060;Praha-Běchovice;1546;1107;1105;237;1;2;43;1;1;46;54;11;10;1;20;1;1;175;1;0;0;124;240;1;1;51;1;5;1;1;74;1
538078;Praha-Benice;484;367;363;74;0;2;13;0;0;30;8;3;1;0;6;0;1;59;0;0;0;37;79;0;0;15;0;10;0;0;25;0
538124;Praha-Březiněves;957;725;721;147;1;0;44;1;0;32;41;8;3;0;9;0;2;101;0;0;0;90;162;0;0;28;3;10;1;1;36;1
547310;Praha-Čakovice;7158;5045;4999;914;2;2;250;1;1;360;225;73;20;0;108;1;14;771;1;1;7;476;1175;2;2;224;2;40;11;6;297;13
547298;Praha-Ďáblice;2598;1853;1842;347;0;2;86;0;0;172;84;19;10;1;43;1;2;280;1;0;0;242;334;2;2;60;0;25;6;4;115;4
547301;Praha-Dolní Chabry;3020;2276;2253;483;0;2;85;0;1;125;72;36;7;1;47;2;4;392;0;0;1;309;412;1;2;112;1;24;5;1;117;11
